Name,Sport,Event,Medal
JONES OJONES Oshae,BOX,Women's Welter (64-69kg),bronze
HARRISON NHARRISON Nevin,CSP,Women's Canoe Single 200m,gold
ROBERTS HROBERTS Hannah,BMF,Women's Park,silver
VALENTE JVALENTE Jennifer,CTR,Women's Omnium,gold
United States,CTR,Women's Team Pursuit,bronze
United States,DIV,Men's Synchronised 3m Springboard,silver
United States,DIV,Women's Synchronised 10m Platform,silver
PALMER KPALMER Krysta,DIV,Women's 3m Springboard,bronze
United States,EQU,Dressage Team,silver
United States,EQU,Jumping Team,silver
KIEFER LKIEFER Lee,FEN,Women's Foil Individual,gold
United States,FEN,Men's Foil Team,bronze
United States,FBL,Women,bronze
SCHAUFFELE XSCHAUFFELE Xander,GLF,Men's Individual Stroke Play,gold
KORDA NKORDA Nelly,GLF,Women's Individual Stroke Play,gold
TORRES GUTIERREZ ATORRES GUTIERREZ Ariel,KTE,Men's Kata,bronze
SHANER WSHANER William,SHO,10m Air Rifle Men,gold
HANCOCK VHANCOCK Vincent,SHO,Skeet Men,gold
ENGLISH AENGLISH Amber,SHO,Skeet Women,gold
BROWNING KBROWNING Kayle,SHO,Trap Women,silver
United States of America 1,SHO,10m Air Rifle Mixed Team,silver
United States of America 2,SHO,Trap Mixed Team,bronze
JUNEAU CJUNEAU Cory,SKB,Men's Park,bronze
EATON JEATON Jagger,SKB,Men's Street,bronze
COLEMAN NCOLEMAN Nathaniel,CLB,Men's Combined,silver
MOORE CMOORE Carissa,SRF,Women,gold
DRESSEL CDRESSEL Caeleb,SWM,Men's 100m Butterfly,gold
DRESSEL CDRESSEL Caeleb,SWM,Men's 100m Freestyle,gold
FINKE RFINKE Robert,SWM,Men's 1500m Freestyle,gold
United States,SWM,Men's 4 x 100m Freestyle Relay,gold
United States,SWM,Men's 4 x 100m Medley Relay,gold
KALISZ CKALISZ Chase,SWM,Men's 400m Individual Medley,gold
DRESSEL CDRESSEL Caeleb,SWM,Men's 50m Freestyle,gold
FINKE RFINKE Robert,SWM,Men's 800m Freestyle,gold
JACOBY LJACOBY Lydia,SWM,Women's 100m Breaststroke,gold
LEDECKY KLEDECKY Kathleen,SWM,Women's 1500m Freestyle,gold
LEDECKY KLEDECKY Kathleen,SWM,Women's 800m Freestyle,gold
MURPHY RMURPHY Ryan,SWM,Men's 200m Backstroke,silver
LITHERLAND JLITHERLAND Jay,SWM,Men's 400m Individual Medley,silver
SULLIVAN ESULLIVAN Erica,SWM,Women's 1500m Freestyle,silver
KING LKING Lilly,SWM,Women's 200m Breaststroke,silver
SMITH RSMITH Regan,SWM,Women's 200m Butterfly,silver
WALSH AWALSH Alex,SWM,Women's 200m Individual Medley,silver
United States,SWM,Women's 4 x 100m Medley Relay,silver
United States,SWM,Women's 4 x 200m Freestyle Relay,silver
LEDECKY KLEDECKY Kathleen,SWM,Women's 400m Freestyle,silver
WEYANT EWEYANT Emma,SWM,Women's 400m Individual Medley,silver
MURPHY RMURPHY Ryan,SWM,Men's 100m Backstroke,bronze
SMITH KSMITH Kieran,SWM,Men's 400m Freestyle,bronze
SMITH RSMITH Regan,SWM,Women's 100m Backstroke,bronze
KING LKING Lilly,SWM,Women's 100m Breaststroke,bronze
LAZOR ALAZOR Annie,SWM,Women's 200m Breaststroke,bronze
FLICKINGER HFLICKINGER Hali,SWM,Women's 200m Butterfly,bronze
DOUGLASS KDOUGLASS Kate,SWM,Women's 200m Individual Medley,bronze
United States,SWM,Women's 4 x 100m Freestyle Relay,bronze
FLICKINGER HFLICKINGER Hali,SWM,Women's 400m Individual Medley,bronze
ZOLOTIC AZOLOTIC Anastasija,TKW,Women -57kg,gold
United States,TRI,Mixed Relay,silver
ZAFERES KZAFERES Katie,TRI,Women's Individual,bronze
United States,VVO,Women,gold
United States,WPO,Women,gold
NYE KENYE Katherine Elizabeth,WLF,Women's 76kg,silver
ROBLES SEROBLES Sarah Elizabeth,WLF,Women's +87kg,bronze
STEVESON GDSTEVESON Gable Dan,WRE,Men's Freestyle 125kg,gold
TAYLOR III DMTAYLOR III David Morris,WRE,Men's Freestyle 86kg,gold
MENSAH STOCK TMMENSAH STOCK Tamyra Mariama,WRE,Women's Freestyle 68kg,gold
SNYDER KFSNYDER Kyle Frederick,WRE,Men's Freestyle 97kg,silver
GRAY AMGRAY Adeline Maria,WRE,Women's Freestyle 76kg,silver
GILMAN TPGILMAN Thomas Patrick,WRE,Men's Freestyle 57kg,bronze
DAKE KDDAKE Kyle Douglas,WRE,Men's Freestyle 74kg,bronze
HILDEBRANDT SAHILDEBRANDT Sarah Ann,WRE,Women's Freestyle 50kg,bronze
MAROULIS HLMAROULIS Helen Louise,WRE,Women's Freestyle 57kg,bronze
